title,date,source,body
　　而从CPU频率来看，手机玩游戏过程中，骁龙855的CPU大核并没有完全发挥，手机的发热只是比皮肤温度略高，完全在舒适的范围内，卡顿降频之类的更不存在了。值得一提的是，一加7 Pro还与QQ飞车合作推出了相应的高刷新率版本，而高通骁龙855移动平台又在其中始终提供了强劲的性能保证——Adreno 640 GPU、Kryo 485 CPU和Hexagon 690处理器组成的高通第四代AI Engine会在游戏过程中始终侦测帧数的表现，确保手机游戏运行的过程中始终维持在超乎想象的90帧。
　　骁龙芯可以说是手机玩游戏汇聚澎湃性能的源泉。高通骁龙855作为目前顶级的手机处理器，游戏实力实属不俗，在CPU、GPU、AI等多个方面性能都有了跨越式的提升，能够在手机玩游戏时提供更好的游戏帧率、更创新的游戏AI应用、更出色的视觉特效以及更智能的手机玩游戏体验，可以说是手机玩游戏的极佳选择。
　　如果是手机玩游戏的重度玩家，或者以手机的游戏性能作为购机指标的用户，搭载高通骁龙855的旗舰机型以及专业的游戏手机就非常值得入手，这些各具特色的手机，可以根据喜好轻松挑选。
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
虎牙自制综艺《酒后探真言》即将上线 彩虹屁中爆笑吐槽,2019-07-01,97973手游网,"随着高考、中考、期末考等大大小小的考试结束，广大学生党们迎来了一年之中最幸福的暑假。那么，更为广大的非学生党们也别失落，虽然你们不仅没有暑期，而且还要顶着烈日工作，但是这里有一个好消息告诉你们：虎牙自制的一档社交游戏话题讨论类综艺节目《酒后探真言》即将在7月6日晚8点在虎牙660261首播，每周六更新，爆笑陪伴整个夏日！

　　这档由趣味社交APP《皇上别杀我》冠名播出的暑期综艺节目，主要展示了当代年轻人日常交往中令人难以捉摸的“夸x吐槽”的沟通方式，将网络流行的“夸夸群”搬上大屏幕，来一场真人面对面版“夸夸群”！但是，在“夸夸酒馆”里要注意的一点是：不是所有的夸都是真的夸，这里危机四伏，稍不留神就被吐槽。当彩虹屁、土味情话遇到内涵吐槽的时候，又会迸发出怎么样的语言艺术呢？

　　区别于目前市面上较火的几档语言类综艺节目，如《吐槽大会》是让节目嘉宾接受吐槽与自嘲来表达“吐槽，是一种年轻的沟通方式”的宗旨、《饭局的诱惑》是通过饭局和游戏诱惑明星嘉宾大胆地说出在别处不敢分享的真心话，《酒后探真言》则是一档将“夸”作为主旨的节目，虽然表面上和和气气你夸夸我我夸夸你，实际上却暗“槽”涌动。将“商业互捧”“彩虹屁”“土味情话”等年轻人流行的语言艺术融合在一起，并在其中加入”吐槽“成分，形成新型的语言文化，让人一时间不知道自己是在被夸还是在被吐槽。符合当代年轻人社交方式：在互夸互黑中增进彼此友谊。

　　《酒后探真言》的“夸夸酒馆”由5名固定嘉宾与每期1名飞行嘉宾以及2位飞行嘉宾的好友责成。固定嘉宾们的营业需求就是秉承着飞行嘉宾“被夸一时爽，一直被夸一直爽”的服务宗旨，对飞行嘉宾进行“夸夸服务”。
　　据说第一期的嘉宾阵容就让人十分期待，金牌主持袁成杰、满身是梗的骚男以及老大哥拉风龙等知名主播。节目场景设置是朋友的日常聚会，以轻松休闲的方式，让朋友们在“夸与被夸”、“吐槽与被吐槽”之间卸掉伪装，以坦诚乐观的态度来爆料生活趣事，调侃生活压力，向观众展现明星及主播未曾展露的一面，通过个人映射出社会话题引发观众思考与共鸣，从而传递正确价值观。更多精彩内容，请大家持续关注虎牙直播660261为大家带来的《酒后探真言》！
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
哪吒已经长大，《朝歌封魔录》本月封测，哪吒助战东海龙族,2019-08-14,97973手游网,"《哪吒之魔童降世》引发了一股国风神话热潮，各大动漫，漫画，同人平台纷纷推出萌丑哪吒的新作品。仙侠手游《朝歌封魔录》同样在筹备关于自己的哪吒故事，据这款游戏的宣发人员介绍，作为一款封神题材的游戏，哪吒是必不可少的人物，开发人员正在考虑为哪吒定制一套全新的故事和形象。

　　作为一款神将收集游戏，《朝歌封魔录》打造的每一个神将均保留其初始元素，在神将使命，神将故事，神将特性，神将技能等方面进行了二次创作改编。力图让游戏中的每一个神将都有血有肉，个性鲜明。

　　封神演义中的诸神，不同的出身，不同的遭遇，历经磨难之后终于走上了封神之路。众神之神的姜子牙，是《朝歌封魔录》游戏中的彩蛋大神最终出现。召唤出姜子牙的玩家，距离登顶仅一步之遥。

　　游戏的开局，大家讲接触到几个比较陌生的神将，如黄帝三大臣之一的力牧就是其中之一。我们都知道黄帝打败了蚩尤，却不清楚，在涿鹿代表黄帝出战得胜的大臣就是力牧。封神录中为力牧打造了狂乱，号令反击等技能，就是根据人物特征设定的。

　　正在开发中的神将哪吒是游戏中的以为核心神将，拥有极强的原始爆发力和后期培养潜力。在《朝歌封魔录》中，哪吒也将于东海龙宫三太子熬丙产生各种各样的关联，魔丸和灵丸结合后爆发出能量惊人的混元之力，两者都是这款游戏中极为重要的武将。

　　在故事设定上，《朝歌封魔录》将采用传统哪吒的设定与新的玄幻故事设定相结合的办法，既有哪吒闹海的故事，又有哪吒协助熬丙大战东海群妖，合力修复东海封印等情节。不知道大家是否期待这样一款东方神话游戏呢？来吧，携手问道，朝歌封神。
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
敖丙：我要和哪吒一起玩《朝歌封神录》，申公豹：成...,2019-08-15,97973手游网,"近日，《哪吒之魔童降世》票房再创国漫新高峰，叛逆的哪吒吸粉无数，说话结巴的申公豹让人忍俊不禁。仙侠手游《朝歌封魔录》即将迎来封测，作为一款封神题材全新手游，自然少不了这几尊大神，开发人员也在考虑为哪吒定制一套全新的故事和形象。

　　《朝歌封神录》封测在即，哪吒敖丙组队来玩
　　为了迎接《朝歌封神录》封测，哪吒敖丙可是等不及了，来看看师傅申公豹是怎样说的？
　　敖丙：师傅，《朝歌封神录》封测开启了，我要和哪吒一起升仙。
　　申公豹：成。。。
　　敖丙：谢谢师傅。
　　申公豹：成。。。何体统！

　　敖丙：师傅，听说《朝歌封神录》里可以解封哪吒招募麾下，你要不要收他为徒。
　　申公豹：要。。。
　　敖丙：师傅真是大气。
　　申公豹：要。。。要不起。

　　敖丙：师傅，能帮徒儿下载《朝歌封神录》么？
　　申公豹：不。。。
　　敖丙：徒儿知错。
　　申公豹：不。。。不用下载，点开就。。。就能玩。

　　《朝歌封神录》神将系统，排兵布阵由你定
　　在故事设定上，《朝歌封魔录》将采用传统哪吒的设定与新的玄幻故事设定相结合的办法，既有哪吒闹海的故事，又有哪吒协助敖丙大战东海群妖，合力修复东海封印等情节，力图让游戏中的每一个神将都有血有肉，个性鲜明。

　　在本次《朝歌封神录》删测中，玩家还能体验到神将组队的玩法，不同的技能搭配会为你的战斗带来不一样的乐趣，神将听命，排兵布阵由你定！
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
和平精英冬季带你感受体验服 震撼丧尸模式今夏来袭,2019-07-03,97973手游网,"在这个炎热的夏季，相信已经有许多小伙伴跟小编一样，进入不开空调活不下去模式，恨不得一天24小时都能吹着凉凉的空调，再吃上一个冰镇西瓜。最近，《和平精英》也入了夏，然而想要在战场上拥有空调是件不可能的事，于是游戏团队想出了一个妙招为各位精英们送上清凉，那就是推出——“暗夜危机”模式。接下来就让虎牙“一姐”冬季，来带大家在体验服感受一下这个能让你感到背后发凉的模式吧！

　　在游戏还未开始之前，冬季就简单粗暴地告诉我们，暗夜危机模式其实就是丧尸模式，我们在此模式下会与丧尸进行战斗，是不听起来就很刺激呢？

　　只见冬季刚刚落地，就撞见一个大胖子丧尸，这身材，这气势，一看就不好惹，如果拿枪与他硬刚必是凶多吉少。于是，冬季灵机一动，从背包中掏出一个“诱饵手雷”，又称为“小鸡手雷”，这个手雷可以吸引低级丧尸，然后爆炸，让你在不靠近丧尸的情况下，轻松取走他的小命。

　　这时，就会有胆小的小伙伴们紧张起来，丧尸这么容易遇见，那么暗夜危机模式会不会很恐怖呢？冬季告诉我们，恐怖是贼恐怖，但肯定在我们的心理承受范围内，比较恐怖的地方就在于丧尸“咚”的一声出现的时候以及游戏的音效。小编建议，如果你的胆子比较小，最好不要在夜深人静时打开该模式，否则可能会有种行走在恐怖片当中的感觉！

　　别以为打倒了路边的丧尸和敌人就算取得了比赛的胜利，在该模式下，我们还会随机遇见Boss级丧尸，这种级别的丧尸非常难对付，需要大家静下心来与他满满周旋，而且当天色逐渐暗下来时，可怕的丧尸群就会出现，枪法过硬的冬季就一人单打独斗了丧尸群许久，当冬季打丧尸打到一半时，突然发现还有丧尸狗的存在，这狗盯着冬季就是咬，后面还跟着两个丧尸哥们保护它，可真是狗仗人势呀！

　　在暗夜危机模式下，我们如果去一人打丧尸群，肯定是打不过的，就连冬季最后都甘拜下风。所以，冬季这次用亲身实践告诉我们，该模式好玩是好玩，但更需要团队之间的配合，并且自己的枪法也不能差，否则很难存活到最后。
　　看完冬季的体验以后，很多粉丝都留言说想玩，更有“真爱粉”刚看完视频就前去体验服更新体验，看来，冬季不仅游戏专业性强，还具有一定的号召力，《和平精英》将来不愁没代言人，虎牙冬季就是一个很好的选择哟！
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
百万福利助力DNF十一周年庆 勇士西装Q币红包免费领,2019-06-25,97973手游网,"“刀斩肉身，心斩灵魂”，GSD的名言伴随800万勇士走过了10个年头。DNF作为腾讯旗下的2D横板格斗游戏，以经典街机网络化的创新理念和玩法成为了全球网络游戏发展史上的一个里程碑。时值DNF十一周年，Hello语音在6月25日特别推出DNF十一周年狂欢活动。不仅有勇士西装、罗技键鼠套，更有海量Q币红包免费送，还有主C大神带你畅游DNF！

　　[DNF十一周年狂欢 福利免费送]
　　活动：DNF十一周年狂欢活动
　　时间：6月25日至7月1日
　　奖励：海量黑钻、勇士西装、Q币红包。
　　领取奖励方式：下载登陆Hello语音，参与周年庆特别活动，即可领取黑钻、游戏道具等福利，更有每天三次免费抽奖机会。玩家还能在DNF特权专区兑换丰厚的游戏道具。
　　[三重福利 助力勇士决战阿拉德]
　　一重福利见面礼：登陆即领三天黑钻、星空裂缝通行证
　　二重福利勇士认证奖励：完成勇士认证任务（累积三天登陆）即可领取勇士认证礼包，续领三天黑钻、Hello语音精美座驾。
　　三重福利奖品免费抽：每天三次免费抽奖机会，奖品包括品牌西装、罗技键鼠套、赛丽亚Q版手办、海量游戏道具；更可集卡兑换价值200Q币的DNF夏日套助力红包。
　　全员助力勇士集结里程碑任务，可以为“夏日套助力红包（200Q币）”兑换池增加名额，每位助力勇士还可以领取里程碑任务的全员奖励。
　　[主C大神空降Hello 带你畅玩DNF]
　　活动期间，Hello语音特别邀请了主C大神，带玩家一起畅玩DNF。届时，进入DNF接待房，还能参与精彩在线活动。
　　荣耀征途，永不落幕。Hello语音始终竭诚为每一位游戏玩家带来最好的开黑体验，长期送出游戏道具及精美福利。更多精彩活动，请关注@Hello语音 官方微信公众号和新浪微博了解。
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
《大话白蛇》华丽座驾，一骑在手，把妹我有！,2019-09-20,97973手游网,"各位仙女老爷们好！即上次的六大角色透露分享之后，《大话白蛇》梦幻回合手游重磅推出华丽座驾模块，坐骑系统可谓是所有游戏中的灵魂所在，作为游戏中增加玩家造型与属性的利器，还能让你在游戏中增加另外一个标签“有车一族”坐骑的外观不仅酷炫，而且还能给人物增加而外的附加技能与属性，有趣的坐骑养成让你感觉自己就像是饲养一只贴心的宠物一般，说了那么多，你是不是已经想将坐骑领回家了呢？
　　萌兔：软糯又实用。

　　《大话白蛇》手游陆地坐骑“萌兔”前脚生有一双小翅膀，再加上人畜无害的可爱外形，是不是早已将你萌出一口老血？但可不要被它的外形给蒙蔽了，其实萌兔可是一头来自妖族的战兔，不仅通晓人性，而且一旦到了战场上就像一只脱了缰的野马，所向披靡！将这样一头坐骑放置身边，你想没有回头率都难！
　　画卷：雍容华贵

　　画卷作为游戏中高贵的坐骑存在，尽显它的奢华气质。“画卷”本是天帝书房中的圣卷，生死裁决都会记录在它的身上，后因天官疏忽而将它遗落人间而成为修真者梦寐以求的宝物。画卷远观像卷轴，近看像一张泼墨的画卷，其中蕴含的多少神通无人能知。
　　翻云鲤：红鲤鱼与绿鲤鱼与驴！

　　翻云鲤作为坐骑中又一种仙家之物而备受关注，首先是其拥有独特的“布灵布灵”闪烁外形与特殊的飞行方式，即可高空飞行也可切换与其他陆地坐骑一样低空滑行，高空飞行可以穿越地形障碍，达到场景畅通无阻的能力。翻云鲤本是观音菩莲池里的一条金色鲤鱼，每日听菩萨诵经念佛，通晓人性，能给乘骑者带来好运，是一条货真价实的“锦鲤”。
　　在手游《大话白蛇》的世界中，其实每一个单职业玩家都可以在自己37级后领取到一只强力坐骑，这只坐骑不仅是你的代步工具，若能好好培养，在属性、技能方面会给你带来意想不到的效果。当然啦！除了赠送的坐骑以外，我们大话白蛇中的其他坐骑也是千姿百态，超能各异，小编儿就不再一一介绍了，因为你们才是它们真正的主人，加入《大话白蛇》手游，通过不同的培养方式，让它们早日能够成为你的左膀右臂！
　　《大话白蛇》手游，给你不一样的白蛇传说！

　　大话白蛇游戏官网：https：//dhbs.demigame.com/

　　大话白蛇游戏官方Q群：730903773
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
秀色可餐的猫系厨娘《精灵食肆》美女玩家COS,2019-09-23,97973手游网,"精灵食肆是一款绮幻美食经营手游，游戏中，玩家将成为一座飞行餐厅的店长，和各种好看的厨娘、厨师、店员一起经营餐厅，将新鲜美味的温暖感动带到世界的各个角落。精美的立绘和动人的配音，让很多店员都成为玩家的心头好，最近，美女玩家（微博@软软妹妹爱你哟）就为《精灵食肆》出了一套精美的月铃大小姐COS，这是一个温柔中带着性感，又有点腹黑的猫灵厨娘。话不多说，一起来欣赏一下吧：




　　下面是小姐姐的个人介绍和采访：
　　小编：小姐姐好啊，你是怎么和《精灵食肆》这款游戏结缘的呢？
　　软软小姐姐：HI~我是ios一区龙井虾仁的“闪耀软软”，从内测就关注精灵食肆啦。
　　因为我非常喜欢玩模拟经营类游戏，小时候就喜欢玩网站上的那种开餐厅做饭的小游戏，之前的工作也是开甜品网店，一直梦想是能开一家餐饮的实体店！这个游戏正好满足了我开一家美食餐厅的愿望啦。

　　小编：为什么会想到要cos月铃呢，是因为自己和月铃气质比较像嘛？月铃可是有点小腹黑的呢~
　　软软小姐姐：月玲是我非常喜欢的角色，她的人设很吸引人，很多人觉得猫咪=软萌，但月玲是那种腹黑而且毒舌的猫，还有一点小性感，实际上更像喵星人的感觉。
　　我在现实里也是铲屎官，所以对月玲当然情有独钟啦！可我的性格并不是特别像，虽然在cos过程中有尽力的去模仿，但是拍出来被吐槽像兔琉璃来着……


　　小编：当然不会啦，还原度超高的，可以介绍一下cos过程中一些有趣的事情嘛
　　软软小姐姐：比较有趣的事情就是，当时我去拍照的时候，摄影师问为什么这套衣服有两条尾巴，是不是做错了~我跟他说：月玲就是有两条尾巴呀！

　　软软小姐姐生活照

　　关注绮幻美食经营手游《精灵食肆》，还有更多可爱的角色等你发现哦。当然，这里也有很多小姐姐，在新推出的花园功能中，还可以通过送花去撩你遇到的小哥哥小姐姐哦。

 
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
超级英雄齐汇聚，26家品牌联动开启《漫威超级争霸战》活动,2019-05-12,97973手游网,"最近漫威粉丝最为津津乐道的话题是什么？如果你回答是《复仇者联盟4》，那你只答对了一半，虽然钢铁侠的离去、新任美国队长的诞生令人在回味中又有些不舍。但是没关系，来漫威正版授权大型手游格斗手游《漫威：超级争霸战》中延续你们超级英雄的传奇。

　　最近更是与多达26个品牌达成了联动活动，动动手指即可参与，奖励却是相当丰厚，身为漫威粉丝的你怎么能不关注一下呢？

　　在淘票票《复仇者联盟4》电影详情页的活动入口，你可以进入到《漫威：超级争霸战》游戏专题页，直接领取到高级英雄水晶等丰厚奖励！说不定你的下一个四星英雄就藏在这个水晶里喔~
　　抖音的视频挑战赛#全漫威村的希望#则为你准备了专属的游戏贴纸，让你瞬间化身超级英雄，打出那个扭转局势的响指！一等奖的现金奖励更是高达一万元，还有罗技方向盘、漫威周边等你拿！
　　不知道游戏怎么玩？大神玩家想秀一手操作？来看看虎牙直播的活动吧！各大主播试玩游戏，让你充分领略游戏魅力，更有直播专区内的众多主播任你选择，如果你也想当上主播秀一把，那就快快加入主播招募活动，罗技GPRO鼠标、美国队长公仔等丰厚奖励拿到手软！
　　互动抽奖、创意视频……无论是你是电影粉丝还是游戏迷，是忠实观众还是视频作者，爱奇艺的这些活动总有一个能满足你，海量京东购物卡、点击即拿免费游戏礼包……没有领礼包的你可要抓紧了！
　　谁才是漫威的终极C位？用你的行动来说话吧！在A站参与最喜欢的漫威英雄投票活动，诸多奖励拿到你手软，罗技游戏外设助你所向披靡，漫威T恤让你成为人群中最靓的仔！
　　立即参与精彩活动！
　　淘票票：独家礼包免费领！http://m.fullspeed.cn/taopp/marvel/index.html?s=dy&spm=dianying.dy.1.1&cityCode=310100
　　抖音：#全漫威村的希望#挑战赛
　　http://v.douyin.com/jqBgN4/
　　虎牙：主播招募活动
　　https：//blog.huya.com/news/11997
　　爱奇艺：视频征集活动
　　http://m-live.iqiyi.com/press/zt/Marvelh5.html
　　A站：《漫威：超级争霸战》人物投票
　　http://activity.acfun.cn/m/mcoc
　　B612：下载APP即可使用钢铁侠头盔贴纸。
　　搜狗输入法：下载APP即可在皮肤界面可以选择游戏皮肤，在表情界面中选择使用漫威表情包。
　　扇贝app：你是漫威里的哪位英雄？

　　智联招聘：在职场里，你更像哪位漫威英雄？

　　征文活动
　　https：//www.toutiao.com/a6687880370135761412/
　　最右APP：谁是你心目中的漫威英雄之王？https：//share.izuiyou.com/detail/120641028？zy_to=wechat&share_count=1&m=84057143b5ce472e7a3614b877ad1e46&app=zuiyou
　　触手直播： 主播招募活动
　　https：//chushou.tv/event/apply/template/mwzbz.htm
　　简书：https：//www.jianshu.com/p/5343a5c2803e
　　18183：http://hd.18183.com/activity/topic-134.html
　　多玩：http://ka.duowan.com/hd_159/
　　网易新闻客户端：https：//c.m.163.com/news/a/EEG3D7JV003198H7.html
　　17173：http://bbs.17173.com/thread-11170124-1-1.html
　　旅法师营地：：https：//www.iyingdi.com/web/article/home/75425
　　掌游宝：http://m.zhangyoubao.com/lscs/gonglue/3265499005251206725?fromGame=
　　当乐网：https：//news.d.cn/activity/72512.html
　　游戏茶馆：5月11日微信开启
　　NGA：https：//bbs.nga.cn/read.php？tid=17154764
　　知乎：https：//www.zhihu.com/topic/20755033/hot
　　即刻APP：https：//m.okjike.com/originalPosts/5ccfdc88af33880018feceb4？username=E11774B0-5548-451A-9280-A6490D59FF6A
　　罗技：https：//logitechg.tmall.com/？spm=a220o.1000855.1997427721.d4918089.5232653cAAwsVN
　　如此之多的活动，是不是让你有些眼花缭乱了呢？这些活动的热度无一不是如火如荼，众多漫威粉丝皆参与其中。无论你是游戏高手、灵魂画手还是攻略写手，或者只是想参与一下相关的讨论，都有活动可以满足你！你可以在活动中赢取丰厚现金、罗技顶级外设、精美漫威周边等奖励。如果你心动的话，就赶快点击链接参与吧，参与的活动越多，获奖概率自然也就越大，祝你游戏玩得畅快，中奖中得开心！

  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
《大话白蛇》角色抢先看，他们是不是你要找的菜？之第二期！,2019-09-18,97973手游网,"嘤嘤嘤~各位看官安康！小编儿想死你们啦！继上一次我们《大话白蛇》手游人物介绍“剧透”之后，已经有不少看官催更小编儿将剩下的三位主角曝光，行行行，我听你们的，这不今天就带着上次还没有介绍完的剩余角色信息带给你们，小板凳做好！

　　接下来第一位出场的是一位小萝莉。
　　锦梦蝶：女，仙族
　　可选门派：太初、瑶池
　　出身仙界隐世家族，因为身份显赫，会有一些刁蛮任性，经常脑洞大开的想出一些稀奇古怪的点子戏弄仙官，但好在只是性格调皮，没有害人之心，在人们需要帮助的时候也会仗义出手。

　　陌征天：男，妖族
　　可选门派：妖神宫，青城
　　仙妖混血，从小便受尽旁观冷眼，受尽侮辱，因为如此他比常人更加的坚强，又因为自己是混血，身具妖族与仙族的共有特性使自己在同龄人中的实力更为强大，因为他想用实力保护他想要保护的人，让大家都认可他。
　　韶清音：女，妖族
　　可选门派：妖神宫、青城
　　拥有三百年道行的妖族青鱼，从出生起便生活在水中过着无忧无虑的生活，直到妖神东皇太一身陨后妖族开始动荡，原本自由的生活已经不复存在，她该何去何从？接下来等她的又该是什么样的考验？

　　看完了上述的角色介绍，各位看官可觉还行？我们《大话白蛇》手游角色各个身披主角光环，进入战斗后分分钟carry全场。想要知道更多精彩的新闻资讯，请持续关注官网，待小编儿为您解锁更多好玩有趣的新内容，挥挥~让我们下期见！
　　《大话白蛇》手游，给你不一样的白蛇传说！

　　大话白蛇游戏官网：https：//dhbs.demigame.com/

　　大话白蛇游戏官方Q群：730903773
  
 97973手游网声明：97973手游网登载此文出于传递更多信息之目的，并不意味着赞同其观点或证实其描述。"
“国民传奇”联盟成立 传奇游戏将迎新统一,2019-09-17,97973手游网,"据悉，新成立的江西省国民传奇网络技术有限公司（以下简称“国民传奇”）响应国家政策，正在将“传奇”这款风靡中国近20年的经典游戏即将成为第一次获得国家主管部门和地方省政府的大力支持，合法开展《传奇》游戏相关业务的互联网游戏及平台化公司。
　　让许多从事“传奇”游戏的互动娱乐公司获得了国民传奇公司给与的最大的安全感。据悉，落地于江西省宜春市宜阳新区的国民传奇联盟产业园，将引入“传奇”游戏产业的上下游企业，包括研发公司、美术公司、发行公司、大数据相关产业联动等，由此将使江西宜春市获得围绕“传奇”产业开展文创事业的绝对高地，建立“国民传奇”产业生态链。
